date_of_birth,date_of_joining,gender,promoted
02-08-1986,14-06-2016,male,yes
09-01-1983,10-03-2013,other,yes
14-10-1992,28-05-2007,male,no
23-07-1997,18-08-2018,female,yes
06-07-1992,10-02-2011,female,no
18-12-1993,29-10-2021,female,no
01-09-1975,26-12-2010,male,yes
21-07-1997,16-02-2014,female,no
12-10-1988,28-09-2010,male,yes
23-10-1971,15-08-2012,male,yes
22-06-1978,09-06-2019,female,no
08-08-1976,09-04-2021,female,no
08-01-1972,03-04-2006,female,yes
18-08-1972,12-06-2020,male,no
09-09-1998,14-12-2009,female,yes
27-05-1979,27-04-2021,female,no
11-09-1979,30-06-2006,male,yes
17-12-1987,18-08-2011,male,yes
20-03-1986,26-07-2005,other,yes
17-06-1989,23-04-2010,female,no
22-04-1989,15-11-2008,female,no
28-07-1991,23-09-2021,female,no
06-04-1986,21-11-2005,male,yes
23-11-1978,17-10-2006,male,yes
04-08-1990,09-07-2009,female,no
17-09-1995,12-02-2017,other,no
04-01-1982,04-04-2007,other,yes
05-10-1966,16-03-2014,male,yes
05-06-1972,11-04-2016,male,yes
29-10-1969,29-11-2008,other,yes
02-11-1990,26-05-2009,male,no
04-12-1990,23-12-2007,female,no
13-10-1970,31-08-2018,male,yes
20-06-1987,14-01-2008,other,yes
19-08-1986,23-05-2014,female,yes
03-09-1996,18-05-2014,female,yes
03-06-1983,13-12-2015,male,yes
11-09-1988,21-02-2006,female,yes
15-04-1985,07-04-2010,female,yes
06-08-1977,20-04-2015,male,yes
24-02-1985,18-02-2008,female,yes
20-06-1966,18-11-2014,female,yes
29-04-1992,07-09-2013,female,no
17-05-1965,07-12-2006,female,yes
18-03-1993,13-11-2011,female,no
09-03-1986,07-05-2018,female,yes
05-10-1989,21-10-2020,male,no
28-11-1966,08-12-2014,female,yes
24-11-1978,31-01-2012,female,yes
10-08-1971,08-06-2008,male,yes
31-10-1995,03-09-2018,male,no
16-06-1972,11-07-2016,female,yes
04-05-1975,13-11-2012,male,yes
29-09-1979,18-04-2008,female,yes
15-04-1980,25-04-2007,female,yes
27-10-1968,07-09-2006,male,yes
20-12-1990,16-04-2014,female,no
09-10-1990,01-09-2019,female,no
14-01-1974,16-03-2019,female,no
25-08-1995,08-05-2005,female,no
26-06-1976,12-02-2005,male,yes
24-12-1975,09-09-2010,male,yes
16-09-1987,29-01-2017,female,yes
06-04-1987,29-04-2007,male,yes
09-01-1977,12-08-2019,male,no
05-10-1986,01-11-2012,female,yes
18-09-1979,16-09-2007,female,yes
02-07-1990,12-07-2009,other,no
16-01-1988,19-12-2019,female,no
21-08-1990,26-06-2010,male,no
21-08-1984,05-07-2016,male,yes
25-07-1983,20-02-2011,male,yes
02-12-1968,06-05-2016,male,yes
06-05-1998,06-12-2007,female,no
02-07-1977,06-07-2017,female,yes
16-06-1971,22-11-2010,female,yes
26-07-1968,20-12-2010,male,yes
30-05-1973,13-03-2017,male,yes
20-09-1984,20-03-2012,female,yes
02-02-1992,06-02-2008,male,no
20-11-1979,07-03-2006,female,yes
11-02-1969,18-05-2014,female,yes
26-02-1970,21-03-2009,male,yes
07-03-1987,27-08-2020,male,no
09-12-1991,09-07-2016,other,no
15-12-1997,15-04-2018,male,no
24-02-1987,01-03-2013,female,yes
22-06-1968,12-04-2006,other,yes
04-09-1974,15-06-2007,other,yes
19-03-1980,18-01-2014,male,yes
22-09-1971,05-10-2009,male,yes
27-11-1967,03-05-2020,male,no
11-02-1970,22-12-2009,male,yes
04-07-1980,09-07-2019,female,no
26-04-1989,07-10-2015,female,no
16-12-1986,31-12-2008,male,yes
17-08-1997,13-11-2006,female,yes
13-09-1971,05-12-2011,female,yes
06-04-1997,01-08-2021,male,no
20-03-1989,24-11-2010,female,no
01-03-1988,20-03-2015,other,yes
13-07-1970,06-09-2021,male,no
30-10-1997,16-01-2011,male,no
09-11-1993,16-07-2016,female,no
20-09-1967,04-03-2018,female,yes
28-04-1967,10-01-2016,male,yes
11-04-1977,22-12-2021,female,no
24-07-1970,24-04-2019,male,no
10-12-1969,11-03-2021,male,no
11-04-1981,02-08-2014,other,no
12-02-1976,18-01-2014,male,yes
17-03-1973,02-02-2009,other,yes
22-03-1984,02-03-2020,female,no
24-03-1968,15-07-2010,male,yes
08-05-1983,11-10-2009,female,yes
28-08-1968,08-05-2012,female,yes
23-08-1996,17-08-2007,male,no
30-12-1982,09-12-2021,male,no
02-08-1992,05-09-2015,male,no
27-04-1976,03-10-2020,male,no
04-06-1995,13-06-2008,male,no
16-03-1972,27-03-2016,female,yes
16-11-1995,04-12-2011,male,no
28-05-1987,12-11-2018,male,yes
03-08-1971,17-09-2015,female,yes
15-10-1965,08-11-2007,male,yes
04-12-1985,28-03-2021,male,no
25-06-1986,18-12-2017,female,yes
18-07-1992,08-10-2020,other,no
23-06-1979,07-08-2020,male,no
26-10-1991,05-01-2017,female,no
03-12-1990,13-12-2014,male,no
15-12-1988,11-07-2006,male,yes
12-10-1978,25-05-2020,male,no
25-06-1982,11-08-2020,male,no
21-09-1991,17-03-2019,male,no
21-08-1984,28-07-2006,female,yes
06-12-1967,18-06-2020,other,no
03-04-1971,04-11-2008,male,yes
18-03-1973,02-03-2010,male,yes
14-01-1972,06-12-2007,male,yes
05-12-1996,13-07-2016,male,no
24-06-1975,20-08-2010,female,yes
28-05-1967,28-01-2009,male,yes
15-07-1978,30-07-2018,other,yes
23-01-1987,09-05-2012,female,yes
15-07-1978,01-10-2013,female,yes
16-05-1976,27-06-2019,female,yes
25-03-1966,13-10-2007,male,yes
26-06-1982,26-08-2014,other,yes
20-05-1965,11-09-2011,female,yes
29-12-1997,21-04-2016,male,no
11-03-1974,16-02-2010,female,yes
25-09-1975,27-06-2015,female,yes
26-01-1979,12-11-2019,other,no
03-03-1996,30-07-2021,female,no
08-03-1989,23-02-2006,male,no
31-12-1984,05-07-2013,female,yes
08-12-1977,29-10-2019,other,no
10-07-1993,15-01-2013,other,no
06-01-1980,01-06-2005,female,yes
14-02-1973,26-09-2019,other,no
18-02-1994,03-12-2020,male,no
12-07-1996,15-05-2014,male,no
13-03-1989,30-04-2008,other,no
22-12-1970,16-12-2010,female,yes
28-01-1973,31-03-2016,other,yes
03-10-1966,19-08-2017,female,yes
04-04-1994,07-12-2010,male,no
06-04-1993,31-05-2017,male,no
18-01-1996,07-09-2017,female,yes
17-02-1975,12-09-2020,other,no
26-11-1976,14-07-2011,female,yes
23-09-1982,18-04-2014,female,yes
22-06-1989,11-09-2015,female,no
26-12-1975,25-05-2017,other,yes
05-08-1976,11-04-2020,male,no
26-04-1969,11-11-2005,female,yes
25-09-1997,25-10-2012,male,no
24-02-1977,22-04-2012,female,yes
16-08-1972,03-08-2012,female,yes
25-10-1998,01-02-2011,female,no
05-04-1976,07-01-2005,female,yes
16-04-1980,11-12-2014,male,yes
17-12-1981,24-11-2019,female,no
24-11-1988,12-10-2011,female,yes
20-12-1980,05-05-2015,male,yes
24-12-1992,02-03-2015,male,no
26-04-1976,26-09-2006,male,yes
09-12-1970,31-08-2011,other,yes
15-05-1968,02-03-2006,female,yes
22-09-1986,03-08-2020,male,no
23-04-1981,16-07-2020,female,yes
18-03-1971,19-12-2015,male,yes
28-10-1969,31-05-2017,female,yes
06-12-1977,20-06-2012,female,yes
01-04-1974,10-09-2018,female,yes
18-11-1970,05-09-2015,female,yes
04-02-1986,20-02-2005,male,yes
03-04-1977,05-01-2016,male,yes
17-12-1974,28-08-2011,male,yes
30-10-1987,21-02-2021,male,no
13-08-1977,14-12-2019,female,no
11-01-1996,21-03-2021,female,no
12-11-1965,24-11-2016,male,yes
